guest_id,full_name,gender,age,phone_number,loyalty_status,signup_date
387,Katelyn Lee,Female,73,555-352-2772,Silver,2024-06-25
388,Kristen Bell,Other,26,786-780-3484x6623,Silver,2022-01-16
389,Monica Mack,Other,48,5842450675,Bronze,2020-12-09
390,Emily Phillips DDS,Male,47,624.251.3757x1396,Bronze,2022-08-14
391,Gabriel Hicks,Female,61,001-759-681-5197,Silver,2024-11-27
392,Denise Bartlett,Other,69,566.521.5452,Silver,2022-04-29
393,James Jones,Male,79,407.413.6608x824,Silver,2024-10-12
394,Edward Williams,Male,78,001-232-715-4365x703,Bronze,2021-05-22
395,Felicia Jones,Female,63,(748)761-1435x163,Silver,2021-03-21
396,Carla Rodriguez,Female,48,625.985.1802,Gold,2022-11-20
397,Edward Hicks,Other,35,953.953.4147x787,Silver,2021-09-25
398,Keith Hernandez,Other,42,919.731.2838x14929,Bronze,2022-02-01
399,Holly Moore,Female,79,001-835-573-0742x4531,Bronze,2022-05-10
400,Mark James,Male,36,801-607-1442x4924,Bronze,2021-04-14
